City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,-25.44,90,100,4.73,RU,1738123791
1,port-aux-francais,-49.35,70.2167,5.49,82,66,13.75,TF,1738123792
2,east london,-33.0153,27.9116,23.12,85,3,7.96,ZA,1738123795
3,roma,43.2128,-75.4557,-6.85,89,100,5.14,US,1738123796
4,phayao,19.25,100.25,25.83,34,22,1.43,TH,1738123797
5,georgetown,5.4112,100.3354,29.96,55,20,3.09,MY,1738123798
6,dhidhdhoo,6.8833,73.1,27.46,72,91,3.7,MV,1738123799
7,port mathurin,-19.6833,63.4167,26.59,75,14,5.31,MU,1738123801
8,hailar,49.2,119.7,-23.97,94,100,3.09,CN,1738123802
9,waitangi,-43.9535,-176.5597,16.01,75,38,2.24,NZ,1738123803
10,grytviken,-54.2811,-36.5092,6.97,77,34,6.09,GS,1738123804
11,stanley,54.868,-1.6985,3.07,90,0,5.14,GB,1738123805
12,kingston,17.997,-76.7936,21.3,86,1,2.05,JM,1738123807
13,invercargill,-46.4,168.35,16.68,64,9,9.83,NZ,1738123809
14,carnarvon,-24.8667,113.6333,36.13,47,53,0.75,AU,1738123810
15,college,64.8569,-147.8028,-18.01,65,100,3.6,US,1738123812
16,hawaiian paradise park,19.5933,-154.9731,19.94,96,100,2.57,US,1738123813
17,howrah,22.5892,88.3103,22.0,73,40,0.0,IN,1738123814
18,alotau,-10.3069,150.4462,32.32,52,100,3.83,PG,1738123815
19,barra de santo antonio,-9.4047,-35.5072,25.46,84,41,2.95,BR,1738123817
20,albany,42.6001,-73.9662,-7.48,78,100,0.45,US,1738123653
21,bethel,41.3712,-73.414,-1.88,50,100,2.06,US,1738123819
22,zouerate,22.7187,-12.4521,16.52,26,0,3.27,MR,1738123820
23,qaqortoq,60.7167,-46.0333,-3.89,64,100,8.46,GL,1738123822
24,tual,-5.6667,132.75,28.36,76,99,8.06,ID,1738123823
25,staroaleyskoye,51.0061,82.0,-8.07,94,100,4.31,RU,1738123824
26,adamstown,-25.066,-130.1015,25.51,67,0,2.71,PN,1738123825
27,happy valley-goose bay,53.3168,-60.3315,-20.58,72,3,6.19,CA,1738123826
28,bayganin,48.6947,55.8742,-2.85,97,100,5.97,KZ,1738123828
29,boguchany,58.3814,97.4531,-27.25,97,81,2.18,RU,1738123829
30,sechelt,49.4664,-123.7694,1.67,84,50,1.13,CA,1738123634
31,pisco,-13.7,-76.2167,22.03,78,0,3.6,PE,1738123831
32,fort bragg,35.139,-79.006,7.11,61,0,4.12,US,1738123833
33,west island,-12.1568,96.8225,30.99,74,20,5.66,CC,1738123834
34,whitehorse,60.7161,-135.0538,-7.57,67,20,6.17,CA,1738123600
35,myskhako,44.6714,37.7433,5.16,75,30,3.68,RU,1738123837
36,ushuaia,-54.8,-68.3,9.55,95,92,3.68,AR,1738123839
37,zayed city,24.3768,54.589,18.03,72,0,3.09,AE,1738123840
38,bhinmal,25.0,72.25,22.38,15,3,1.87,IN,1738123841
39,tindouf,27.6711,-8.1474,15.38,28,22,3.66,DZ,1738123842
40,sinabang,2.4803,96.3801,29.87,63,73,1.17,ID,1738123843
41,forster,-32.1667,152.5167,26.32,83,87,5.49,AU,1738123845
42,fortuna,40.5982,-124.1573,6.66,96,100,0.0,US,1738123846
43,ribeira grande,38.5167,-28.7,15.99,84,66,4.47,PT,1738123847
44,tolanaro,-25.0319,46.9987,25.45,92,100,3.03,MG,1738123848
45,murghob,38.1702,73.9667,-20.48,80,100,0.86,TJ,1738123850
46,longyearbyen,78.2186,15.6401,-3.09,80,75,11.32,SJ,1738123643
47,tiksi,71.6872,128.8694,-25.2,94,100,7.86,RU,1738123852
48,nar'yan-mar,67.6713,53.087,-15.22,97,98,2.85,RU,1738123853
49,puerto ayora,-0.7393,-90.3518,24.19,98,84,0.45,EC,1738123854
50,arab,34.3182,-86.4958,6.92,76,5,3.29,US,1738123856
51,puerto natales,-51.7236,-72.4875,11.93,80,81,3.08,CL,1738123857
